feature,impurity_importance,feature_group
mfcc_05_std,0.0014318508246028913,mfcc_patterns
logmel_12_std,0.0014098092078187812,logmel_band_statistics
mfcc_18_std,0.0014061977998444536,mfcc_patterns
mfcc_15_mean,0.0013901110387786598,mfcc_patterns
dmfcc_13_std,0.001388035935780494,mfcc_patterns
logmel_19_mean,0.0013782685583777754,logmel_band_statistics
dmfcc_07_std,0.001368973748428588,mfcc_patterns
mfcc_15_std,0.001343859505191393,mfcc_patterns
dmfcc_15_std,0.001320856995453693,mfcc_patterns
mfcc_19_mean,0.0013070529990667594,mfcc_patterns
sp_contrast_b0_std,0.001305601710909432,spectral_shape_texture
band_ratio_500_1000,0.0013035059089882156,band_energy_ratios
mfcc_13_std,0.0012898996509338664,mfcc_patterns
logmel_02_mean,0.0012527696441646105,logmel_band_statistics
mfcc_19_std,0.0012335107394867066,mfcc_patterns
mfcc_11_std,0.001228504481313803,mfcc_patterns
logmel_14_mean,0.0012266263522213814,logmel_band_statistics
band_ratio_1000_2000,0.0012148731028825525,band_energy_ratios
sp_centroid_mean,0.0012041365379746036,spectral_shape_texture
band_ratio_0_250,0.0011937587376018705,band_energy_ratios
dmfcc_17_std,0.001185867226122646,mfcc_patterns
dmfcc_10_std,0.0011836702566642543,mfcc_patterns
mfcc_07_std,0.0011753697239368403,mfcc_patterns
logmel_00_std,0.0011728149039083487,logmel_band_statistics
mfcc_03_std,0.0011708846767122458,mfcc_patterns
wp_l3_energy_ratio_1,0.001126161318772503,wavelet_packet_texture
logmel_13_std,0.0011212624496757624,logmel_band_statistics
dmfcc_12_std,0.0011128466711137796,mfcc_patterns
wp_l3_energy_ratio_3,0.0010563431821049114,wavelet_packet_texture
td_mean_abs,0.0010364404615569344,amplitude_energy_gain_sensitive
td_crest,0.0010326851339012408,amplitude_energy_gain_sensitive
mfcc_17_mean,0.0010093580542218736,mfcc_patterns
sp_flatness_mean,0.0009952280204789674,spectral_flatness
dmfcc_06_std,0.0009942818726889032,mfcc_patterns
logmel_09_mean,0.0009921583771968184,logmel_band_statistics
td_rms,0.0009694214512353634,amplitude_energy_gain_sensitive
mfcc_09_std,0.0009611239725213392,mfcc_patterns
band_ratio_2000_4000,0.0009594509931521243,high_frequency_band_energy
dmfcc_11_std,0.0009535185608108938,mfcc_patterns
dmfcc_18_std,0.0009160396516312695,mfcc_patterns
wp_l3_energy_ratio_5,0.0009094330181219521,wavelet_packet_texture
dmfcc_08_std,0.0008930419059012881,mfcc_patterns
logmel_10_mean,0.0008858818735190351,logmel_band_statistics
td_kurt_proxy,0.0008832572088544151,other
dmfcc_19_std,0.0008782455627260455,mfcc_patterns
wp_l3_energy_ratio_0,0.0008725320780928982,wavelet_packet_texture
wp_l3_energy_ratio_7,0.0008570587078803682,wavelet_packet_texture
mfcc_08_std,0.0008541336940651599,mfcc_patterns
logmel_03_mean,0.0008312091270170801,logmel_band_statistics
logmel_11_mean,0.000830629077837566,logmel_band_statistics
td_std,0.0008140505672209178,amplitude_energy_gain_sensitive
logmel_04_mean,0.0008124786191113681,logmel_band_statistics
sp_flatness_std,0.0008074306159297426,spectral_flatness
td_zcr,0.0008067623022992751,zero_crossing_rate
logmel_05_mean,0.0007748553190310048,logmel_band_statistics
sp_rolloff_mean,0.0007657408133278621,spectral_shape_texture
logmel_08_mean,0.000760706793925946,logmel_band_statistics
logmel_07_mean,0.0007220426591692852,logmel_band_statistics
logmel_06_mean,0.0007163904238958512,logmel_band_statistics
wp_l3_energy_ratio_6,0.0007123756773602549,wavelet_packet_texture
dmfcc_04_std,0.0007089953067480751,mfcc_patterns
dmfcc_05_std,0.0006834862012883978,mfcc_patterns
dmfcc_16_mean,0.0006728805855599494,mfcc_patterns
sp_bandwidth_mean,0.0006705951020230766,spectral_shape_texture
td_peak,0.0006446452351513373,amplitude_energy_gain_sensitive
dmfcc_09_std,0.0006171900823496993,mfcc_patterns
sp_centroid_std,0.0006043772710720046,spectral_shape_texture
dmfcc_07_mean,0.0005783012403311346,mfcc_patterns
dmfcc_08_mean,0.0005685859296217469,mfcc_patterns
td_skew_proxy,0.0005635069274151182,other
dmfcc_14_mean,0.0005487271897185738,mfcc_patterns
dmfcc_03_mean,0.0005184193317144134,mfcc_patterns
dmfcc_00_mean,0.0005116290594116011,mfcc_patterns
dmfcc_10_mean,0.0005064954964193495,mfcc_patterns
sp_rolloff_std,0.0005010606873151565,spectral_shape_texture
dmfcc_13_mean,0.000495204570678377,mfcc_patterns
dmfcc_01_mean,0.0004908191557594932,mfcc_patterns
dmfcc_17_mean,0.0004826630347100745,mfcc_patterns
sp_bandwidth_std,0.0004756512118747845,spectral_shape_texture
dmfcc_06_mean,0.00046528853070720643,mfcc_patterns
dmfcc_12_mean,0.0004636987148803311,mfcc_patterns
dmfcc_18_mean,0.0004534036093862457,mfcc_patterns
dmfcc_00_std,0.00044966623312696916,mfcc_patterns
dmfcc_11_mean,0.00044798690491692757,mfcc_patterns
dmfcc_09_mean,0.00042959434458751753,mfcc_patterns
dmfcc_04_mean,0.0004230583893207928,mfcc_patterns
dmfcc_05_mean,0.00041842902510292847,mfcc_patterns
dmfcc_02_mean,0.00038932581285462035,mfcc_patterns
dmfcc_15_mean,0.00038638446891497193,mfcc_patterns
dmfcc_19_mean,0.0003627873637221541,mfcc_patterns
